FilmID,Title,Release Date,DirectorID,Lead Actor/Actress,LanguageID,Industry,GenreID,Budget in Crores,First Day Collection Worldwide  in Crores,Worldwide Collection  in Crores,Overseas Collection in Crores,India Gross Collection in Crores,Verdict,IMDb Rating,Runtime (mins),OTT Platform
1,PK,19-12-2014,101,Aamir Khan,501,Bollywood,601,85.00,26.60,792.00,303.00,489.00,All Time Blockbuster,8.1,153,Netflix
2,Happy New Year,24-10-2014,102,Shah Rukh Khan,501,Bollywood,602,150.00,61.90,397.00,102.00,295.00,Hit,5,180,Netflix
3,Kick,25-07-2014,103,Salman Khan,501,Bollywood,603,100.00,26.40,378.00,68.00,310.00,Super Hit,6,146,Netflix
4,Bang Bang,02-10-2014,104,Hrithik Roshan,501,Bollywood,604,160.00,27.50,340.00,70.00,270.00,Super Hit,5.6,153,Disney+ Hotstar
5,Singham Returns,15-08-2014,105,Ajay Devgn,501,Bollywood,605,80.00,32.10,216.50,16.50,200.00,Super Hit,5.7,142,Netflix
6,Jai Ho,24-01-2014,106,Salman Khan,501,Bollywood,606,65.00,17.80,186.30,36.30,150.00,Above Average,5,135,Disney+ Hotstar
7,Holiday,06-06-2014,107,Akshay Kumar,501,Bollywood,607,50.00,12.10,178.30,24.90,153.40,Hit,7.2,160,Netflix
8,2 States,18-04-2014,108,Arjun Kapoor,501,Bollywood,608,50.00,12.40,173.00,30.80,142.20,Super Hit,6.9,149,Netflix
9,Ek Villain,27-06-2014,109,Sidharth Malhotra,501,Bollywood,609,40.00,16.70,155.00,12.30,142.70,Blockbuster,6.6,129,Netflix
10,Lingaa,12-12-2014,110,Rajinikanth,503,Kollywood,610,100.00,39.00,154.00,30.00,124.00,Below Average,5.6,174,Amazon Prime Video
11,Gunday,14-02-2014,111,Ranveer Singh,501,Bollywood,611,55.00,16.10,130.80,24.70,106.10,Below Average,2.7,152,Amazon Prime Video
12,Humpty Sharma Ki Dulhania,11-07-2014,112,Varun Dhawan,501,Bollywood,608,35.00,9.10,119.60,12.90,106.70,Hit,6,133,Netflix
13,Kaththi,22-10-2014,107,Joseph Vijay,503,Kollywood,606,70.00,25.00,117.50,29.00,88.50,Blockbuster,8.1,166,Amazon Prime Video
14,Race Gurram,11-04-2014,113,Allu Arjun,505,Tollywood,612,50.00,6.80,108.90,6.00,102.90,Blockbuster,7.3,163,Amazon Prime Video
15,Veeram,10-01-2014,114,Ajith Kumar,503,Kollywood,613,45.00,9.00,100.00,19.50,80.50,Blockbuster,6.5,161,Amazon Prime Video
16,Velaiilla Pattadhari,18-07-2014,115,Dhanush,503,Kollywood,610,20.00,4.30,92.00,18.00,74.00,Blockbuster,7.9,133,Amazon Prime Video
17,Kochadaiiyaan,22-05-2014,116,Rajinikanth,503,Kollywood,614,125.00,18.00,90.00,23.00,67.00,Disaster,6.2,118,Amazon Prime Video
18,Action Jackson,05-12-2014,117,Ajay Devgn,501,Bollywood,607,80.00,10.30,88.70,10.70,78.00,Flop,3.4,144,Disney+ Hotstar
19,Anjaan,15-08-2014,118,Suriya,503,Kollywood,607,65.00,11.00,80.40,18.10,62.30,Below Average,5.3,166,Amazon Prime Video
20,Jilla,09-01-2014,119,Mohanlal,503,Kollywood,605,50.00,12.00,80.00,11.00,69.00,Below Average,6.2,185,Amazon Prime Video
